código,glosa,clasificación
11171092,EFFECT OF ELECTROLYTES ON ADSORBED FROTHERS AT FLUID INTERFACES THROUGH MOLECULAR DYNAMICS AND EXPERIMENTS,otro
11171096,¿QUE CARACTERISTICAS DE LA FORMACION INICIAL SE RELACIONAN CON EL DESEMPEÑO EN AULA DE SUS EGRESADOS?: ANALISIS DE LA CONTRIBUCION DE LOS PROGRAMAS AL DESEMPEÑO DOCENTE,otro
11171115,QUALITATIVE AND QUANTITATIVE ANALYSIS OF THE LOCAL AND GLOBAL DYNAMICS OF CONTINUOUS DYNAMICAL SYSTEMS.,otro
11171121,HABILIDADES SOCIO-EMOCIONALES: MODELO LONGITUDINAL Y EVALUACION EXPERIMENTAL DE UNA ESTRATEGIA ESCALABLE Y DE BAJO COSTO PARA EL DESARROLLO DE MENTALIDAD DE CRECIMIENTO EN ETAPA ESCOLAR,otro
11171122,PHYSICS OF MAGNETIC SOLITONS: EFFECTS OF CURVATURE AND TOPOLOGICAL PHASE TRANSITIONS MEDIATED BY IT.,otro
11171123,RHIZOSPHERE INTERACTIONS ON WHEAT PLANTS GROWN UNDER DROUGHT CONDITIONS AS A STRATEGY TO OPTIMIZE WATER USE EFFICIENCY: IMPORTANCE OF POTASSIUM UPTAKE,otro
11171125,DE LOS DERECHOS EN ABSTRACTO AL CONFLICTO DE DERECHOS: EL PROBLEMA DE LA PRIMACIA DEL DERECHO SUBJETIVO SOBRE EL IUS EN LA DETERMINACION DEL DERECHO,otro
11171141,ERYTHROPOIETIN THERAPY INCREASES PLASMA LEVELS OF FIBROBLAST GROWTH FACTOR 23 IN END-STAGE RENAL DISEASE PATIENTS,salud
11171146,LA (IN)ACCESIBILIDAD COMO FACTOR DETERMINANTE DEL BIENESTAR HABITACIONAL DE LAS PERSONAS CON DISCAPACIDAD QUE RESIDEN EN VIVIENDA SOCIAL EN CHILE,otro
11171148,"STRING THEORY AND BLACK HOLE PHYSICS: LOCALITY, EFFECTIVE FIELD THEORY AND CHAOS",otro
11171155,ROLE OF ASTROCYTE CONNEXIN HEMICHANNELS IN CORTICAL SPREADING DEPRESSION,salud
11171158,MANAGING GOAL DYNAMICS: DEVELOPING A REGULATORY MODEL TO PROMOTE GOAL ENGAGEMENT AND MEANINGFULNESS AT WORK,otro
11171159,WIRELESS CHANNEL MODELING FOR IMPLEMENTING THE FUTURE 5G COMMUNICATIONS,otro
11171163,EXTREME WAVE CLIMATE OF THE SOUTHEAST PACIFIC: INTERANNUAL VARIABILITY AND PROJECTIONS UNDER CLIMATE CHANGE.,otro
11171164,FE PUBLICA Y DOCUMENTOS MERCANTILES: ESTUDIO DE LA PRUEBA DOCUMENTAL PUBLICA EN EL DERECHO COMERCIAL CHILENO,otro
11171165,ON THE RELATIONSHIP BETWEEN GAUSSIAN PROCESS REGRESSION AND SPECTRAL ESTIMATION,otro
11171169,CALIBRE CORTO: SENDAS DEL CUENTO POLICIAL CUBANO,otro
11171175,STUDY OF THE ROLE OF RHOMBOID PROTEASES IN THE PROTEOLYSIS OF ATBZIP60U UNDER OSMOTIC STRESS,salud
11171177,CONTEXTUALIZACION Y TERRITORIALIZACION DE LA GESTION EDUCATIVA DE LA ESCUELA EN LA ARAUCANIA,otro
ENER170001,ESQUEMAS DE INTEGRACION DE SISTEMAS DE ALMACENAMIENTO DE ENERGIA EN LOS SISTEMAS ELECTRICOS,otro
ENER170002,DESARROLLO DE NUEVAS HERRAMIENTAS PARA LA INTEGRACION SEGURA Y EFICIENTE DE ERNC VARIABLES: DETERMINACION DE RESERVAS DE CONTROL E INERCIA UTILIZANDO HERRAMIENTAS PROBABILISTICAS Y  RECUPERACION DEL SISTEMA BASADA EN ERNC.,otro
ENER170010,MEDIDAS DE EFICIENCIA ENERGETICA PARA LA REDUCCION DE CONSUMO DE ENERGIA EN EDIFICIOS PUBLICOS.,otro
ENER170012,CONOCIMIENTO DEL IMPACTO DE LA GENERACION DISTRIBUIDA EN LA OPERACION DE REDES DE DISTRIBUCION Y TRANSMISION PARA APOYAR LA PREPARACION Y ACTUALIZACION DE LA NORMATIVA ELECTRICA DE PROYECTOS DE ENERGIAS RENOVABLES NO CONVENCIONALES,otro
ENER170021,TRATAMIENTO LEGAL  E IMPLEMENTACION DE LA PARTICIPACION CIUDADANAEN EL PROCESO DE TRANSICION ENERGETICA HACIA UNA ECONOMIA BAJA EN CARBONO,otro
ENER170026,TECNOLOGIAS DE EFICIENCIA ENERGETICA EN VIVIENDAS PREFABRICADAS,otro
ENER170028,CLUSTER SOLAR,otro
ENER170030,"ANALISIS DE ALTERNATIVAS DE FINANCIAMIENTO E INSTITUCIONALIDAD, MARCO REGULATORIO PARA ACELERAR EFICIENCIA ENERGETICA DE CHILE",otro
ENER170031,TRANSPARENCIA E INCLUSIVIDAD: EXPERIENCIAS EN POLITICAS ENERGETICAS DE LARGO PLAZO.,otro
ENER170043,"DISENO E IMPLEMENTACION DE POLITICAS PUBLICAS ADAPTATIVAS PARA EL SECTOR ENERGIA EN CHILE: ANALISIS DEL PROCESO DE DISENO, FORMULACION, EVALUACION E IMPLEMENTACION DE LA NORMATIVA PARA RE-LICENCIAMIENTO DE CENTRALES HIDROELECTRICAS EN CALIFORNIA.",otro
ENER170044,"CAPACITACION SOBRE METODOLOGIA INGLESA ""STOCK MODELLING"" PARA ANALISIS DE MACRODATOS Y PREDICCION DEL CONSUMO ENERGETICO DE VIVIENDAS CHILENAS DE MANERA MASIVA",otro
ENER170047,ENSAYOS EXPERIMENTALES DE METALURGIA SOLAR,otro
ENER170048,DESARROLLO DE MODELOS DINAMICOS PARA EVALUAR LA ESTABILIDAD DE SISTEMAS ELECTRICOS DE POTENCIA CON ALTOS NIVELES DE TECNOLOGIAS DE GENERACION VARIABLE,otro
ENER170051,REGULACION ACCESO ABIERTO EN LOS SISTEMAS DE TRANSMISION. EXPERIENCIA EN COLOMBIA.,otro
ENER170052,"VALIDACION DE INDICADORES AMBIENTALES, SOCIALES Y ECONOMICOS COMO DESCRIPTORES DE LA GENERACION ELECTRICA EN CHILE.",otro
ENER170053,CAPACITACION SOBRE METODOLOGIA INGLESA “TRANSFERENCIA DE CONOCIMIENTO PARA OPERACION DEL SELLO NACIONAL DE CONSTRUCCION SUSTENTABLE PARA VIVIENDAS Y BUSQUEDA DE OPORTUNIDADES DE FOMENTO A LA SUSTENTABILIDAD E INNOVACION Y DESARROLLO”,otro
ENER170055,SINTESIS DE CATALIZADORES PARA LA VALORIZACION DEL CO2 A PARTIR DE EXCEDENTES SOLARES,otro
ENER170059,NUEVOS SERVICIOS COMPLEMENTARIOS PARA EL MERCADO ELECTRICO NACIONAL.,otro
ENER170060,MEJORANDO LA EFICIENCIA DE CALDERAS INDUSTRIALES DE BIOMASA USANDO MODELACION NUMERICA,otro
ENER170062,FORTALECIENDO MIS COMPETENCIAS Y CAPACIDADES DE JOVEN INVESTIGADOR EN EL AMBITO DE BIOCOMBUSTIBLES SOLIDOS SOSTENIBLES Y CON ALTO VALOR AGREGADO,otro
ENER170063,"MODELACION DE SISTEMAS DE ENERGIA, EXPERIENCIA INTERNACIONAL Y LECCIONES PARA CHILE.",otro
ENER170065,GESTION DEL ALMACENAMIENTO DE RECURSOS HIDRICOS PARA GENERACION HIDROELECTRICA EN EL CONTEXTO DE CAMBIO CLIMATICO: UN CASO DE ESTUDIO.,otro
ENER170072,EFICIENCIA ENERGETICA A TRAVES DE SIMBIOSIS INDUSTRIAL,otro
ENER170092,MECANISMOS PARA LA PARTICIPACION ACTIVA DE LA DEMANDA EN EL MERCADO ELECTRICO Y EN UN SISTEMA ELECTRICO CON ALTA PENETRACION DE ERNC.,otro
ENER170096,COORDINACION DE INVERSIONES EN TRANSMISION CON CONSIDERACIONES DE ORDENAMIENTO TERRITORIAL MEDIANTE OPTIMIZACION BI-NIVEL,otro
ENER170100,MICRORRED EN CORRIENTE CONTINUA (DC) PARA FUENTES DE ENERGIA DISTRIBUIDA (DER) EN SISTEMAS AISLADOS CHILENOS,otro
ITAL170002,GEOCHEMISTRY OF FLUID DISCHARGES FROM GUALLATIRI AND LASTARRIA VOLCANOES (NORTHERN CHILE) : IMPLICATIONS FOR THE VOLCANIS HAZARD IN RELATION WITH THE LOCAL TECTONIC SETTING,otro
ITAL170004,VOLCANIC ERUPTIONS VS. HUMAN IMPACT: A COMPARATIVE ANALYSIS BETWEEN NATURAL AND ARTIFICIAL MORPHOLOGICAL CHANGES ALONG GRAVEL BED RIVERS IN CHILE AND ITALY. LEARNING FROM DIFFERENT IMPACTS TO BETTER MANAGE THE AFFECTED RIVERINE ENVIRONMENTS,otro
ITAL170007,ITALIAN MODELS IN THE RENOVATION OF SACRED SPACES IN CHILE DURING THE 19TH CENTURY. VALUATION OF A SIGNIFICANT CULTURAL HERITAGE,otro
ITAL170012,UNRAVELING THE STRUCTURAL CONTROL ON GEOTHERMAL RESERVOIRS APPLYING NUMERICAL SIMULATIONS AT SAN FELIPE- LOS ANDES AREA (CHILE) AND NEAPOLITAN GEOTHERMAL DISTRICT (ITALY),otro
3170003,"DISEÑO, SINTESIS POR REACCIONES MULTICOMPONENTES BASADAS EN ISONITRILOS Y EVALUACION BIOLOGICA DE UNA NUEVA LIBRERIA DE COMPUESTOS FOSFONO-PEPTIDOMIMETICOS COMO INHIBIDORES DE LA ENZIMA PSEUDOMONA ELASTASA (LASB)",salud
3170007,"STUDY OF GEYSERS DYNAMICS, UNDERGROUND GEOMETRY, AND SINTER DEPOSITS: EL TATIO GEYSERS FIELD, ATACAMA DESERT.",otro
3170010,"""MAQUINAS CUANTICAS Y SU OPTIMIZACION""",otro
3170011,UNDERSTANDING RIVER MORPHODYNAMICS BEYOND STEADY STATE: THE ROLE OF HYDROGRAPHS ON SEDIMENT PULSES AND CHANNEL CHANGES,otro
3170012,"DISEÑO, SINTESIS Y EVALUACION ANTI-CANCERIGENA DE NUEVOS HIBRIDOS DERIVADOS DEL MONOTERPENO MIRTENAL (MIR).",salud
3170014,APORTACIONES EN LA MODULACION POR ANCHO DE IMPULSO PARA ACCIONAMIENTOS ELECTROMECANICOS MULTIFASICOS.,otro
3170016,LA GOBERNANZA DE LA ALTURA. ACTORES Y REGIMENES IMPLICADOS EN EL GOBIERNO DE LAS EDIFICACIONES RESIDENCIALES DE ALTURA EN EL GRAN SANTIAGO,otro
3170021,ASIGNACION DE RECURSOS DE TRANSMISION CON EQUIDAD EN COMUNICACIONES INALAMBRICAS ENERGETICAMENTE EFICIENTES,otro
3170023,"LA INHIBICION DE JAK1-3, DISMINUYE LA INFLAMACION EN SINDROME DE SJOGREN AL REGULAR LA AUTOFAGIA: ESTUDIO EN MODELOS IN VIVO E IN VITRO DE SINDROME DE SJOGREN",salud
3170025,"ETIOLOGY, EPIDEMIOLOGY AND CONTROL OF CALYX-END ROT AND GRAY MOLD IN APPLES OF EXPORTATION IN THE MAULE REGION, CHILE",otro
3170029,"ESTUDIO COMPUTACIONAL DE LA ACTIVIDAD CATALITICA DE LA RIBULOSA 1,5 BISFOSFATO CARBOXILASA-OXIGENASA MEDIANTE METODOS DE CALCULO HIBRIDOS",otro
3170031,LOS REGIMENES DE VERIDICCION COMO COMPONENTES DE UNA ANALITICA CONTEMPORANEA DEL PODER,otro
3170035,"INFORMATION EXTRACTION FROM BLACK HOLES AND WORMHOLES BY THEIR QUASINORMAL-MODES, GREYBODIES AND HAWKING RADIATIONS",otro
3170037,LAS ARMAS DEL CONVENCIMIENTO: DIALOGOS MISIONALES ENTRE LA EDAD MEDIA (S.VI-VIII) Y LA PRIMERA EVANGELIZACION DE AMERICA (S.XVI),otro
3170038,"GENOME-WIDE DETECTION OF NATURAL SELECTION IN CHILEANS, AN ADMIXED POPULATION",salud
3170040,CONTROL PREDICTIVO ROBUSTO Y ESTOCASTICO: ACERCANDO TEORIA Y APLICACIONES,otro
3170042,ON THE ROLE OF RIEMANN--CARTAN GEOMETRIES ON CURRENT COSMOLOGICAL AND HIGH ENERGY PHYSICS PROBLEMS,otro
3170043,WNT SIGNALING REGULATES DENDRITIC SPINES THROUGH THE ACTIVATION OF THE SMALL RHO GTPASES FAMILY,salud
3170048,"MODULATION OF VOLTAGE-GATED PROTON CHANNEL, HV1, AND CONNEXIN HEMICHANNELS BY HEAVY METAL DIVALENT CATIONS.",salud
3170049,"ENTROPIA DE DIFEOMORFISMOS DE VARIEDADES NO COMPACTAS. PROBLEMA DE ESCAPE DE MASA, DESIGUALDAD DE RUELLE Y ENTROPIA TOPOLOGICA DE CONJUNTOS DE PUNTOS GENERICOS.",otro
3170051,"AN ETHNOGRAPHY OF THE CHINESE IN SANTIAGO, CHILE: EXAMINING MULTI-NODAL MIGRATION TO RETHINK MIGRANTS' TRANSNATIONAL PRACTICES AND SOCIAL INTEGRATION",otro
3170052,"SYNTHESIS AND BAND ENGINEERING OF SN1-XAX SE (A=GE, SB) THERMOELECTRIC MATERIALS FOR ENERGY APPLICATION",otro
3170058,"FACING DEADLINE: THE DYNAMIC INTERPLAY OF GROUP AFFECTIVE PROCESSES, MEETING INTERACTIVE BEHAVIOR AND PERFORMANCE IN PROJECT TEAMS",otro
3170060,FUNCTIONAL ROLE OF HV1 PROTON CHANNEL IN TUMOR-SUPPORTING MYELOID-DERIVED SUPPRESSOR CELLS.,salud
3170061,DISEÑO Y SINTESIS DE LIGANDOS DIRIGIDOS A UN NUEVO RECEPTOR NICOTINICO DE ACETILCOLINA (RNACO) HETEROMERICO ALFA7BETA2,salud
3170062,UNDERSTANDING AND INCORPORATING ASPECTS OF BODY LANGUAGE IN OUR PROFESSIONAL TEACHING PRACTICE,otro
3170063,REVENUE MODELS IN TWO-SIDED MARKETS,otro
3170065,SOBRE CIERTOS PROBLEMAS ABIERTOS EN LA TEORIA ESPECTRAL DE GRAFOS,otro
3170067,STUDY ON THE LOCAL AND GLOBAL THEORIES OF NONLINEAR DISPERSIVE EQUATIONS,otro
3170068,INNOVACION EN LA AGRICULTURA Y SUS CINCO DIMENSIONES DE JUSTICIA SOCIAL,otro
3170071,CONOCIMIENTO Y PERCEPCION EN LAS ENCICLOPEDIAS DEL SIGLO XIII,otro
3170072,ESTUDIO DE LA HIDRODESOXIGENACION (HDO) DE MOLECULAS DERIVADAS DE LA BIOMASA SOBRE CATALIZADORES BASADOS EN CARBUROS METALICOS,otro
3170076,SINTESIS Y CARACTERIZACION DE CELDAS SOLARES BASADAS EN PEROVSKITAS HIBRIDAS LIBRES DE PLOMO,otro
3170077,TECNICA DE REFINAMIENTO ADAPTATIVO DE MALLA APLICADA A ESQUEMAS DE DIFERENCIAS FINITAS ASOCIADOS A LEYES DE CONSERVACION HIPERBOLICAS DEFINIDAS SOBRE DOMINIOS CON FRONTERA CURVADA,otro
3170079,QUANTIFYING WINDFLOW EFFECTS ON SEASONAL SNOWPACK IN THE EXTRATROPICAL ANDES CORDILLERA,otro
3170082,ESTUDIO DEL PAPEL DE LOS PROCESOS DE CRECIMIENTO CRISTALINO NO CLASICO EN NANOMINERALES DE HIERRO MEDIANTE LA APLICACION DE TECNOLOGIAS ANALITICAS DE VANGUARDIA EN LA CARACTERIZACION DE FERRIHIDRITA,otro
3170084,PROBLEMA INVERSO DE AUTOVALOR PARA MATRICES NO NEGATIVAS ESTRUCTURADAS,otro
3170089,EFECTO DE LAS ASOCIACIONES VEGETALES Y DE LA INCIDENCIA DE INCENDIOS FORESTALES SOBRE LAS COMUNIDADES DE HONGOS MICORRICICOS ARBUSCULARES ASOCIADOS A LA RIZOSFERA DE ARAUCARIA ARAUCANA,otro
3170094,NON-REDUNDANT FAULT-TOLERANT CONTROL SCHEME OF BACK-TO-BACK CONVERTER-FED INDUCTION MOTOR DRIVE,otro
3170099,"ASTROS Y GALAXIAS DESDE EL SUR: CHILE Y SU INSERCION CIENTIFICA ASTRONOMICA EN LA GUERRA FRIA GLOBAL, 1962 - 1973.",otro
3170100,FOTOCATALIZADORES DE RE(I) EN LA REDUCCION DE DIOXIDO DE CARBONO: MODULACION DE PROPIEDADES FOTOFISICAS Y DESEMPEÑO FOTOREDUCTOR.,otro
3170103,EL NEGOCIO DE LO PRISTINO: LAS CONSECUENCIAS SOCIOESPACIALES DE LA COMODIFICACION DE LA NATURALEZA Y DEL PAISAJE EN LA ZONA LACUSTRE-ANDINA DE LOS RIOS.,otro
3170104,DESARROLLO DE NANOCOMPOSITOS EN BASE DE CO-POLIMERO EN BLOQUE DE ESTIRENO-ETILENO-BUTILENO-ESTIRENO (SEBS) PARA SU USO POTENCIAL EN ACTUADORES ELASTOMERICOS,otro
3170107,MODELACION COMPUTACIONAL DE CAPACIDADES PARA LA PRODUCCION FOTOSENSIBILIZADA DE OXIGENO SINGLETE EN RODOPSINAS MUTANTES ASOCIADAS A DEGENERACION RETINIANA,salud
3170108,DISEÑO Y MEJORAMIENTO DE MODULADORES ALOSTERICOS CON ACTIVIDAD INSECTICIDA BASADO EN LA ESTRUCTURA CRISTALOGRAFICA DEL RECEPTOR DE GABA RDL,salud
3170111,ELLIPTIC PDES: QUALITATIVE PROPERTIES OF SOLUTIONS AND EXISTENCE RESULTS.,otro
3170112,ON ORTHOGONAL POLYNOMIALS AND INTEGRABLE SYSTEMS,otro
3170116,QCD ANALITICA Y NO PERTURBATIVA EN PROCESOS DE VIOLACION DE NUMERO Y SABOR LEPTONICO,otro
3170117,COMPUTATIONAL STUDIES OF RING OPENING METATHESIS POLYMERIZATION (ROMP) BY MOLYBDENUM AND RUTHENIUM CATALYST.,otro
3170120,DRAFT GENOME SEQUENCING AND PATHOGENIC EFFECTOR STUDY OF A PHYTOPLASMA STRAIN IN CHILEAN STRAWBERRY,otro
3170122,CHEMICAL ORGANIZATION THEORY AND ITS APPLICATION TO THE COMPLEXITY-STABILITY PROBLEM IN ECOLOGY,otro
3170123,DEVELOPMENT OF CLIMATE-RESILIENT BIO-INOCULANTS OF PLANT GROWTH PROMOTING YEAST TO IMPROVE THE PRODUCTION OF HORTICULTURAL CROPS IN LA ARAUCANIA REGION,otro
3170124,"PU ÑIDOL-LONKO, ORIGEN, AUGE Y OCASO DE UNA INSTITUCION POLITICA. GULUMAPU, 1793-1860.",otro
3170126,AISLANTES TOPOLOGICOS DE FLOQUET EN TRES DIMENSIONES,otro
3170133,ULTRAFILTRATION MEMBRANE BIOREACTORS (UF-MBR) ASSISTED BY ULTRASOUND AS STRATEGY TO IMPROVE THE QUALITY OF APPLE JUICE CONCENTRATES AND UPGRADE POMACES: PROCESS MODELING UNDER A MULTIVARIATE APPROACH.,otro
3170134,"""CONCIENCIA AMBIENTAL Y ESCRITURA ECOLOGICA EN LA LITERATURA INFANTIL CHILENA DEL SIGLO XXI""",otro
3170135,"NEUTRINO PHYSICS, DARK MATTER AND HIGGS: A STUDY ABOUT HOW THE STANDARD MODEL MIGHT BE EXTENDED.",otro
3170139,ANTHROPOGENIC INFLUENCE ON THE CHANGE OF THE SUBTROPICAL GYRE CIRCULATION IN THE SOUTH PACIFIC IN THE 20TH AND 21ST CENTURY,otro
3170140,THE ROLE OF PKR-LIKE ER KINASE (PERK) IN HELICOBACTER PYLORI INDUCED GASTRIC CELL DEATH AND PROGRESSION OF PRECANCEROUS LESIONS TO GASTRIC CANCER,salud
3170141,GENETIC ANALYSIS OF RAPID TRACHEAL FLUID ABSORPTION AND AIR FILLING DURING DROSOPHILA ECDYSIS,salud
3170143,PROPIEDADES ELECTRICAS Y DE ABSORCION OPTICA EN DISPOSITIVOS BASADOS EN GRAFENO,otro
3170144,ANIMASTICA EN EL CHILE COLONIAL: LA ENSEÑANZA JESUITICA EN LOS CURSOS MANUSCRITOS DE LOS SIGLOS XVII Y XVIII.,otro
3170149,CUTTING EDGE NEUTRINO RESEARCH IN THE DAYA BAY AND JUNO INTERNATIONAL EXPERIMENTS,otro
3170152,EPIDEMIOLOGIA DE LA CO-INFECCION DE CALIGUS ROGERCRESSEYI Y PISCIRICKETTSIA SALMONIS EN SALMONIDOS DE CULTIVO EN CHILE,- salud
3170153,SOME PROBLEMS OF LACK OF COMPACTNESS AND REGULARITY IN THE CALCULUS OF VARIATIONS,- otro
3170154,FENOMENOLOGIA DEL ORIGEN DE LA MASA DEL NEUTRINO EN COLISIONADORES DE HADRONES Y/O EXPERIMENTOS DE BAJA ENERGIA,- otro
3170155,ATMOSPHERIC RIVERS IN THE SOUTHEASTERN PACIFIC AND THEIR IMPACT ON EXTREME OROGRAPHIC PRECIPITATION ALONG SUBTROPICAL ANDES,- otro
3170156,"MULTIPLE STRESSORS IMPACTS ON THE NORTHERN SCALLOP ARGOPECTEN PURPURATUS: ECO-PHYSIOLOGICAL, BIO-MINERALOGICAL AND LIFE HISTORY RESPONSES TO UPWELLING INTENSIFICATION IN A GLOBAL CHANGE CONTEXT",- otro
3170157,EPIBACTERIAL FUNCTION IN THE DISTRIBUTION AND PHYSIOLOGY OF MACROCYSTIS PYRIFERA ACROSS A LATITUDINAL GRADIENT,- otro
3170158,HISTORIA SOCIAL DE LOS CAMPESINOS EN LA ARAUCANIA POSBELICA (1883-1938). UNA APROXIMACION A LA EXPERIENCIA SUBALTERNA DE LOS LLAMADOS ROTOS Y WINGKA POBRES,- otro
3170159,STUDY OF THE REGULATION OF FOLIC ACID PATHWAY BY SUMOYLATION DURING NUTRIENT STARVATION.,- salud
3170164,DISEÑO DE AGONISTAS CANNABINOIDES CB2 SELECTIVOS,salud
3170166,PAVLOVIAN-TO-INSTRUMENTAL TRANSFER (PIT): MECHANISMS AND TRANSLATIONAL RESEARCH,salud
3170169,INCREASED EXPRESSION OF ?3 INTEGRIN AND SYNDECAN-4 IS CONTROLLED BY THE RAB/ARF-ENDOCYTIC PATHWAY IN REACTIVE ASTROCYTES,salud
3170170,HYBRID DPG METHODS FOR SINGULARLY-PERTURBED NON-LINEAR PROBLEMS,otro
3170175,"TRAYECTORIA, DIMENSIONES DE LA CARRERA CRIMINAL Y REINCIDENCIA, EN AGRESORES DE VIOLENCIA INTRAFAMILIAR",otro
3170176,DESIGN OF AN INTEGRATED BIODEVICE WITH OSTEOGENIC ABILITY FOR APPLICATION IN BONE REGENERATION.,salud
3170179,CONSERVATION IN THE CITY: CAN STRATEGIC SPATIAL ARRANGEMENT OF URBAN TREES ENHANCE NATIVE BIRD SPECIES RICHNESS AND ABUNDANCE?,otro
3170180,CURRENT-INDUCED MAGNETIC SWITCHING IN NANORING ARRAYS GROWN USING ULTRATHIN ALUMINA MEMBRANE,otro
3170186,"NOVEL ORDERED BIMETALLIC TIOPHOSPHATES PHASES (M'XM1-XPS3 M: ZNII OR CDII, M': MNII, FEII, COII, NIII OR CUII). STRUCTURE, AND MAGNETIC PROPERTIES USING EPR.",otro
3170187,LA OTRA CARA DE LA MONEDA: FACETAS DE CRECIMIENTO EN LAS TRAYECTORIAS DE LOS INMIGRANTES EN CHILE,otro
3170191,ESTUDIO DEL CONTROL INTERFACIAL MEDIANTE CAPAS PASIVADORAS EN CELDAS SOLARES HIBRIDAS DE PEROVSKITA,otro
3170193,SISTEMAS DE CULTIVO EN RECIRCULACION AFECTAN EL PROCESO DE DESARROLLO DE REPRODUCTORES DE SALMON DEL ATLANTICO (SALMO SALAR) GENERANDO LARVAS CON DEFECTOS.,salud
3170194,LA PERDIDA DE LA INTERACCION ENTRE EL DHPR Y EL CANAL DE PANEXINA EN EL SARCOLEMA DEL MUSCULO ESQUELETICO DE RATONES OBESOS CONTRIBUYE AL DESARROLLO DE RESISTENCIA A LA INSULINA.,salud
3170198,DISCURSOS SOBRE LO POPULAR Y LA EMERGENCIA DE UN GENERO DE CINE NEGRO LATINOAMERICANO (1990-2010),otro
3170199,ESTUDIO DEL TRANSPORTE ELECTRONICO UNIMOLECULAR DE PIRIDINIOS FENOLATOS SOLVATOCROMICOS.,otro
3170204,STUDYING GIANT PLANET FORMATION WITH HIGH-CONTRAST IMAGING AND INTERFEROMETRY TECHNIQUES,otro
3170206,CHANGES IN PALEO-INTERMEDIATE WATERS AT THE CENTRAL SOUTH PACIFIC,otro
3170207,CHARACTERISING ACCRETION IN STELLAR-MASS BLACK HOLES,otro
3170210,CONTRIBUCION DE SISTEMAS TOXINA-ANTITOXINA A LA PATOGENICIDAD DE ESCHERICHIA COLI ADHESIVA-INVASIVA (AIEC) ASOCIADA A LA ENFERMEDAD DE CROHN,salud
3170211,"FACTORES LATITUDINALES, AMBIENTALES Y FISIOLOGICOS RELACIONADOS CON EL DESARROLLO DE INFECCIONES DE MALARIA AVIAR EN ZONOTRICHIA CAPENSIS",salud
3170214,ESTUDIO DE PROCESOS CON CAMBIO DE FASE EN EL INTERIOR DE ESTRUCTURAS BIO-INSPIRADAS COMPUESTAS DE MICROCANALES,otro
3170215,DIELECTRIC AND PLASMONIC SCATTERERS FOR LIGHT TRAPPING IN THIN FILM SOLAR CELL,otro
3170217,ESTRUCTURA Y FUNCION DE UNA RED BIOLOGICA: ASPECTOS DE LA CORRELACION ESPACIO TEMPORAL EN EL CODIGO NEURONAL.,otro
3170225,GLOBAL CLIMATE CHANGE AND MACROCYTIS PYRIFERA: DOES ENVIRONMENTAL HISTORY AFFECT THE ABILITY TO ACCLIMATE TO FUTURE OCEANIC CONDITIONS?,otro
3170227,FLAT SPOTS AND SPIRAL PATTERNS OF VEGETATION IN ARID REGIONS,otro
3170237,KINETIC STUDY OF AZA AND THIOL-MICHAEL ADDITION REACTIONS IN DIFFERENT TASK-SPECIFIC IONIC LIQUIDS (TSILS). A DUAL CATALYTIC ROLE OF TSILS TOWARD MICHAEL ADDITION REACTIONS.,otro
3170240,DEVELOPMENT OF A NEW MULTIMODAL MAGNETIC PLATFORM FOR THERANOSTIC,salud
3170246,"ECOMORPHOLOGICAL EVOLUTION OF SOUTH AMERICAN RODENTS: ADAPTIVE RADIATION, CONVERGENCE, AND FUNCTIONAL DISPARITY",otro
3170249,EFECTO DE LA ATOMOXETINA SOBRE LA CONDUCTA Y LA PLASTICIDAD SINAPTICA EN UN MODELO MURINO CON TRASTORNO DE DEFICIT ATENCIONAL E HIPERACTIVIDAD,salud
3170253,IDENTIFICACION DE MARCADORES BIOQUIMICOS DE TOLERANCIA A ESTRES HIDRICO EN TRIGO (TRITICUM AESTIVUM L.) Y SU ESTIMACION A TRAVES DE ESPECTRORADIOMETRIA,otro
3170258,REGENERACION DE COFACTOR NAD+ MEDIANTE SISTEMA QUIMIOENZIMATICO PARA LA REVALORIZACION DE GLICEROL.,otro
3170264,"PROPOSAL TITLE: DESIGN, SYNTHESIS, CHARACTERIZATION AND BIOLOGICAL EVALUATION OF NOVEL CALIXARENES FOR GENE DELIVERY AND ION RECOGNITION PROCESSES.",salud
3170270,TACKLING THE DIVERSITY AND ENDEMICITY PATTERNS OF THE ANDEAN SENECIONEAE (ASTERACEAE): A PHYTOGEOGRAPHICAL APPROACH,otro
3170272,DEVELOPMENT OF HOMOGENEOUS SIZED BIOPOLYMER-METAL NANOCOMPOSITE HYDROGELS FROM CHITOSAN AND HYDROXYPROPYLE METHYL CELLULOSE: PROTOTYPE FOR ANTIMICROBIAL APPLICATIONS,salud
3170274,VIOLENCIA DE GENERO EN UNIVERSIDADES. LA MASCULINIDAD COMO FACTOR DE RIESGO,otro
3170275,ON GROUP RINGS OF FINITE AND LEFT-ORDERED GROUPS,otro
3170276,PHYTOPROSTANES ROLE IN OXIDATIVE STRESS EVENTS ON APPLES: A POTENTIAL BIOMARKER FOR EARLY PREDICTION OF PHYSIOLOGICAL DISORDERS,otro
3170278,NON-PERTURBATIVE EFFECTS AT FINITE TEMPERATURE À LA (REFINED) GRIBOV-ZWANZIGER SCHEME IN THE PRESENCE OF NONTRIVIAL BACKGROUND FIELDS,otro
3170279,WIENER-WINTNER ERGODIC AVERAGES AND CONNECTIONS BETWEEN RECURRENCE AND RETURN TIMES,otro
