código,glosa,clasificación,clasificación_normalizada
3180167,INNOVATIVE MULTIDISCIPLINARY APPROACHES TO SOLVE RADIOTHERAPY OPEN ISSUES,salud,salud
3180168,LA CONFORMACION DE UNA COSMOLOGIA COPERNICANA: EL PROBLEMA DE LA ESTRUCTURA DEL UNIVERSO EN JOHANNES KEPLER,otro,otro
3180169,MEANINGFUL FUNCTIONAL DECLINE: A PERSON-CENTRED APPROACH TO AID THE DIAGNOSIS OF DEMENTIA,salud,salud
3180172,"MULTIFUNCTIONAL FLEXIBLE NANOCOMPOSITES: INVESTIGATION OF CARRIER DYNAMICS, DESIGN AND DEVELOPMENT OF ENERGY HARVESTING DRIVEN SELF-POWERED BROADBAND PHOTODETECTORS",otro,otro
3180173,ITINERARIOS TERAPEUTICOS TRANSFRONTERIZOS: PLURALISMO MEDICO Y MIGRACION FRONTERIZA INDIGENA Y NO INDIGENA EN LA REGION HISTORICA DE TARAPACA.,salud,salud
3180174,ARTE DE RETORNO ENTRE AMERICA LATINA Y LAS ISLAS CANARIAS. CIRCULACION Y TRANSFERENCIAS DE MODELOS Y OBRAS EN LA CONFORMACION DEL PATRIMONIO CHILENO COLONIAL (SIGLOS XVII-XVIII).,otro,otro
3180176,ENGINEERING TRANSITION METAL CHALCOGENIDES ANCHORED HETEROATOM DOPED GRAPHENE NANOSTRUCTURES FOR PEM FUEL CELLS.,otro,otro
3180177,PATRONES DE DISTRIBUCION ESPACIO-TEMPORAL DEL MESOZOOPLANCTON DOMINANTE ASOCIADO A ESTRUCTURAS DE SUBMESOESCALA Y MESOESCALA FRENTE A CHILE CENTRO-SUR,otro,otro
3180179,"TOWARD A PHENOMENOLOGY OF VIRTUALITY, WITH APPLICATION TO CONTEMPORARY VIRTUAL TECHNOLOGIES.",otro,otro
3180180,THE SECRETOME OF DIFFERENT AGE ASTROCYTES AND THEIR EFFECT ON NEURONAL AGING,salud,salud
3180181,SINTESIS DE SISTEMAS HIBRIDOS NANOTUBOS DE DIOXIDO DE TITANIO-HEMATITA PARA LA PRODUCCION DE HIDROGENO Y DEGRADACION DE CONTAMINANTES EN AGUA,otro,otro
3180182,THE ROLE OF FLUID DISTRIBUTION AND THERMAL STRUCTURE IN THE ALONG-STRIKE MAGMATIC AND TECTONIC SEGMENTATION IN THE ANDES OF NORTHERN CHILE (18°-24°S).,otro,otro
3180184,VIOLENCIA SEXUAL Y CRIMINOLOGIA MEDICA EN LA MODERNIZACION JURIDICA CHILENA. DISCURSOS NORMATIVOS E IMPLEMENTACION (1890-1950),otro,otro
3180185,BLACK HOLES AND GAUGE/GRAVITY DUALITIES,otro,otro
3180187,"SOCIALIZACION, NORMATIVIDAD Y CONOCIMIENTO: HACIA UNA CONCEPCION SOCIAL DE LA AGENCIA EPISTEMICA Y EL AUTO-CONOCIMIENTO",otro,otro
3180189,DEFINING THE DIFFERENTIAL CONTRIBUTION OF ER STRESS TO OLIGODENDROCYTES AND MOTONEURONS SURVIVAL ON A MODEL OF C9ORF72 REPEAT EXPANSION PATHOGENESIS,salud,salud
3180193,DERIVATION OF AMINO ACID STRUCTURAL PROPENSITIES FROM THEORETICAL POTENTIALS FOR PROTEIN STRUCTURE PREDICTION,salud,salud
3180195,DEFINING THE ROLE OF THE UNFOLDED PROTEIN RESPONSE (UPR) TO BRAIN AGING,salud,salud
3180197,"HISTORIA INTELECTUAL DE LA UNIVERSIDAD DE SAN FELIPE, 1747-1839",otro,otro
3180198,UNRAVELING THE EFFECT OF ORGANIC PHOSPHORUS ON BACTERIAL POPULATIONS IN RIVER AND LAGOON SEDIMENTS FROM LA ARAUCANIA REGION.,otro,otro
3180199,METAL-ORGANIC FRAMEWORKS COMO MATERIALES DE ELECTRODO PARA BATERIAS RECARGABLES DE ION-LI,otro,otro
3180202,VALORIZACION DE ESCOBAJO Y SARMIENTO PARA EL TRATAMIENTO DE EFLUENTES VITIVINICOLAS POR UN SISTEMA FENTON HETEROGENEO ASISTIDO POR LUZ SOLAR,otro,otro
3180203,"THE NATURE OF THE GALACTIC BULGE AS SEEN BY APOGEE, GAIA-ESO, GAIA AND THE VVVX SURVEYS",otro,otro
3180204,RESILIENCIA DEL PATRIMONIO BIOCULTURAL ALIMENTARIO EN LA ARAUCANIA DEL SUR DE CHILE,otro,otro
3180208,"IMAGEN, ARCHIVO, MEMORIA: LOS RETORNOS DEL CINE CHILENO DEL EXILIO",otro,otro
3180209,AUTOPHAGY AND PRIMARY CILIUM CROSSTALK: A NEW MECHANISM IN THE REGULATION OF INSULIN SENSITIVITY,salud,salud
3180210,REDISCOVERING OUR GALAXY THROUGH THE NEW GENERATION OF DYNAMICAL MODELS: ENTERING INTO THE GAIA AND APOGEE-2S ERA,otro,otro
3180215,LEVI-FLAT HYPERSURFACES,otro,otro
3180219,CHANGING RIVERS: THE ROLE OF EXOTIC INVASIVE VEGETATION ON CHANNEL MORPHOLOGY OF CHILEAN RIVERS,otro,otro
3180221,MECANISMO DE EVASION DE LA APOPTOSIS POR EL VIRUS DE LA DIARREA VIRAL BOVINA BVDV-1 A TRAVES DE LA INDUCCION DE A20,salud,salud
3180227,SHAPING A TUBE FOR SURVIVAL: MORPHOGENESIS AND FLUID STRUCTURE INTERACTIONS IN VELVET WORMS,otro,otro
3180228,"ARTISTAS Y ACTIVISTAS DEL SIGLO XXI: RETORICAS DE LA RESISTENCIA Y GENEALOGIAS DESCOLONIZADORAS EN CECILIA VICUÑA, ANA TIJOUX Y CAMILA HUENCHUMIL",otro,otro
3180232,IMMOBILIZATION OF NOBLE METAL NANOPARTICLES ON METAL OXIDE NANOTUBE SUPPORTS AS CATALYSTS FOR SELECTIVE HYDROGENATION OF NITROARENES,otro,otro
3180237,DETERMINANTES BIOGEOGRAFICOS DE LA DIFERENCIACION GENETICA DE MICROMAMIFEROS DE CHILE MEDITERRANEO: EL ROL DE LAS BARRERAS FLUVIALES,otro,otro
3180238,FORTALECIMIENTO DE LAS PRACTICAS DE MAESTROS QUE ENSEÑAN MATEMATICAS A ESTUDIANTES MARGINALIZADOS: UN ESTUDIO EXPLORATORIO.,otro,otro
3180240,REPRESENTACIONES CULTURALES DE AMERICA LATINA EN LOS DISCURSOS DE LAS CURADORIAS LATINOAMERICANAS DE ARTES VISUALES (1980-2010),otro,otro
3180246,CUTTING EDGE EXOPLANETARY SCIENCE WITH THE FIRST GENERATION OF CHILEAN FUNDED ASTRONOMICAL INSTRUMENTATION,otro,otro
3180250,DEVELOPMENT OF THE NOVEL LDL-RECEPTOR TARGETED LIPOSOME FORMULATION FOR CANCER TREATMENT,salud,salud
3180251,"IDENTIFICACION Y CARACTERIZACION DE COMPONENTES DEL COMPLEJO INFLAMOSOMA EN SALMON DEL ATLANTICO (SALMO SALAR), Y SU EFECTO EN LA MODULACION DE LA RESPUESTA INMUNOLOGICA FRENTE A UNA INFECCION VIRAL Y BACTERIANA",otro,otro
3180252,MODELIZACION DE LA FENOLOGIA DE DIFERENTES COMBINACIONES PORTAINJERTO-VARIEDAD DE LA ESPECIE VITIS VINIFERA: UNA HERRAMIENTA PARA ADAPTARSE AL CAMBIO CLIMATICO.,otro,otro
3180255,"RANDOM WALKS IN RANDOM MEDIA: STRATEGIES, SCALING LIMITS AND MACROSCOPIC BEHAVIOUR.",otro,otro
3180257,"GEOMORPHOLOGY OF THE CHILEAN VOLCANIC OCEANIC ISLANDS AND SEAMOUNTS (VOIS): IMPROVING THE UNDERSTANDING ON THEIR ORIGIN, EVOLUTION AND POTENTIAL HAZARDS",otro,otro
3180261,A THEORY OF CHANGE THROUGH THE LENS OF RECONFIGURATION,otro,otro
3180267,EVALUATION OF BIOLOGICAL ACTIVITY OF SEMIPOLAR EXTRACT OBTAINED FROM IN VITRO INDUCED CALLUS OF NATIVE SPECIES DRIMYS WINTERI VAR. CHILENSIS (CANELO) AND LEPTOCARPHA RIVULARIS (PALITO NEGRO),salud,salud
3180269,ANALISIS INTEGRAL DE UN FACTOR DE TRANSCRIPCION RELACIONADO CON LA SENSIBILIDAD A LA DEFICIENCIA DE AZUFRE EN ARABIDOPSIS THALIANA,otro,otro
3180272,ENDOGENOUS PANNEXIN1 FORMS FUNCTIONAL GAP JUNCTION CHANNELS WITH UNIQUE BIOPHYSICAL PROPERTIES,- salud,salud
3180276,TOWARDS A CONTINUOUSLY TUNABLE IN A WIDE SPECTRAL RANGE THZ PHOTODETECTOR BASED ON THE DELTA DOPED QUANTUM WELLS,- otro,otro
3180279,FORMULACION DE NANOPARTICULAS LIPIDICAS PARA LA ENCAPSULACION Y LIBERACION DE COMPUESTOS ORGANICOS VOLATILES CON POTENCIAL ACTIVIDAD INDUCTORA DEL CRECIMIENTO EN LACTUCA SATIVA Y SOLANUM LYCOPERSICUM,- otro,otro
3180283,"IDENTIFICACION Y VALIDACION DE NUEVOS BIOMARCADORES DE ESTRES TERMICO EN CONGRIO COLORADO (GENYPTERUS CHILENSIS) POR MEDIO DE TRANSCRIPTOMICA, UN MODELO PARA LA DIVERSIFICACION ACUICOLA EN CHILE.",- salud,salud
3180287,"POBLACION, FAMILIAS Y VIDA COTIDIANA EN ESPACIOS ETNICOS: DOCTRINA DE BELEN Y SUS FRONTERAS (1750-1820).",- otro,otro
3180289,CAUSES OF THE INVASION BY ULEX EUROPAEUS L. IN THE CHILEAN MATORRAL: TESTING HYPOTHESES WITH A BIOGEOGRAPHICAL APPROACH,- otro,otro
3180291,AUMENTANDO LA DIVERSIDAD EN STEM: PROMOVIENDO LA PARTICIPACION FEMENINA DESDE LOS ESTABLECIMIENTOS EDUCACIONALES,- otro,otro
3180295,ESTUDIO DE LA ACTIVIDAD OSCILATORIA CEREBRAL DURANTE LA ATENCION ORIENTADA HACIA IMAGENES MENTALES,- salud,salud
3180297,TRATAMIENTO DE LIXIVIADOS DE VERTEDERO USANDO CELDAS DE COMBUSTIBLE MICROBIANAS. BUSQUEDA DE INOCULO Y ENSAYOS PRELIMINARES DE DEGRADABILIDAD.,otro,otro
3180299,"WATER-FOOD-ENERGY NEXUS IN THE SOUTH AMERICAN CONTEXT, A COMPARATIVE ANALYSIS BETWEEN CHILE AND BOLIVIA",otro,otro
3180300,"TRATAMIENTO Y CONTROL DE VARROA DESTRUCTOR, PRINCIPAL AGENTE PARASITARIO EN APIS MELLIFERA, BASADOS EN UN EXTRACTO SEMIPOLAR Y TERPENOS OBTENIDOS DESDE EL CANELO (DRYMIS WINTERI)",otro,otro
3180305,THE SUPERSYMMETRIC KP HIERARCHY AND THE CONNECTION WITH SYMMETRIC SUPERPOLYNOMIALS.,otro,otro
3180306,CARACTERIZACION EPIGENETICA E IDENTIFICACION DE CLONES USANDO MARCADORES ASOCIADOS A REGIONES DIFERENCIALMENTE METILADAS EN EL GENOMA DE VITIS VINIFERA CV. 'CABERNET SAUVIGNON',otro,otro
3180307,"HYDROCLIMATIC INFLUENCE ON ESTUARINE-LAND INTERACTIONS IN NORTHERN CHILEAN PATAGONIA (RELONCAVI FJORD): IMPACTS ON ORGANIC MATTER, SUSTAINABLE RESOURCES, AND HUMAN HEALTH",salud,salud
3180309,DEVELOPMENT OF NOVEL AND HIGH PERFORMANCE (1-X) (LA0.7SR0.3MNO3) - (X) (BIFEO3) NANOCOMPOSITES BY CHEMICAL ROUTE AND STUDY ITS MAGNETOELECTRIC COUPLING FOR MEMORY AND SENSORS APPLICATIONS.,otro,otro
3180312,BIMETALLIC OXIDE/SELENIDE-FUNCTIONALIZED GRAPHENE OXIDE-CHITOSAN NANOCOMPOSITE HYDROGELS FOR THE ELECTROCHEMICAL DETECTION OF NEUROTRANSMITTERS,salud,salud
3180313,CONTRIBUTION OF CHRONIC INFLAMMATION IN NEURODEGENERATION ALONG AGING: ROLE OF NECROPTOSIS IN THE VULNERABILITY OF DIFFERENT NEURONAL POPULATIONS,salud,salud
3180315,"STORING, DYNAMICS, AND PERTURBATIONS IN INFORMATION TRANSPORT ON COMPLEX NETWORKS",otro,otro
3180316,ALEXANDRIUM CATENELLA A TRAVES DE LA TRANSFERENCIA TROFICA: EFECTO SOBRE LA REPRODUCCION Y ONTOGENIA TEMPRANA DEL GASTROPODO MURICIDO CHORUS GIGANTEUS,salud,salud
3180317,"AGRO-PASTORAL PRACTICES IN THE ATACAMA DESERT: CHANGE, INTENSIFICATION AND THEIR IMPACT ON HUMAN DIET",otro,otro
3180319,"ALGORITMOS BASADOS EN ""RANDOM FINITE SETS"" APLICADOS A DETECCION Y SEGUIMIENTO AUTOMATICO DE PERSONAS Y VEHICULOS EN AMBIENTES VARIABLES Y A SEGUIMIENTO DE BASURA ESPACIAL",otro,otro
3180321,EVALUATION OF THE MOLECULAR STABILITY OF CYLINDRIN-LIKE STRUCTURES VIA MICROSECOND MOLECULAR DYNAMICS SIMULATIONS,salud,salud
3180322,CONTROLLABILITY FOR THE MOORE-GIBSON-THOMPSON EQUATION,otro,otro
3180323,LATTICE CODES FOR THE K-USER INTERFERENCE CHANNEL,otro,otro
3180324,PAPEL DE LA MICROBIOTA INTESTINAL EN EL DESARROLLO DE PREECLAMPSIA,- salud,salud
3180327,FOTOCATALIZADORES BASADOS EN COMPLEJOS DE MOLIBDENO(0) PARA REDUCCION DE CO2 Y GENERACION DE H2. ESTUDIOS FOTOQUIMICOS Y FOTOFISICOS.,- otro,otro
3180328,"CHARACTERIZATION OF EXTRA-CIRCADIAN ROLES FOR FRQ1 IN BOTRYTIS CINEREA, UNVEILING THE LINK BETWEEN PHOTOMORPHOGENESIS AND NUTRITIONAL REQUIREMENTS",- otro,otro
3180331,TESTING THE HISTORICAL PERMEABILITY OF THE ANTARCTIC CIRCUMPOLAR CURRENT (ACC) AND THE ROLE OF ECOLOGICAL INTERACTIONS IN THE EVOLUTION OF THE ANTARCTIC DIVERSITY: USING HOST-PARASITE SYSTEMS AS BIOLOGICAL MODELS,- otro,otro
3180332,OXIDOS MIXTOS SINTETIZADOS POR METODO HARD-TEMPLATE PARA SU USO EN LIBERACION CONTROLADA DE FARMACOS,- salud,salud
3180333,"ETNIFICACION, ETNOGENESIS, COMUNALIZACION Y PROCESOS FRONTERIZOS EN LAS FIESTAS TRADICIONALES AYMARA DE LA REGION DE TARAPACA",- otro,otro
3180337,LOOKING INTO THE SHADOW OF LOCAL ADAPTATION IN MARINE INVERTEBRATES: THE KEY ROLE OF NON-CODING RNAS,- otro,otro
3180338,GOBERNAR LA JUVENTUD VULNERABLE: LA REGULACION SOCIAL DEL EMPLEO JUVENIL EN CHILE Y LA PRODUCCION DE SUJETOS LABORALES,- otro,otro
3180340,AXONAL REGENERATION BY EXOSOME-MEDIATED TRANSFER OF MIRNA-16 AND MIRNA-21 FROM SCHWANN CELLS,- salud,salud
3180341,THE ROLE OF A? IN THE MECHANISM OF NECROPTOSIS-MEDIATED AXONAL DEGENERATION IN ALZHEIMER'S DISEASE,- salud,salud
3180342,MODIFICACION MICROESTRUCTURAL DE MATRICES ALIMENTARIAS MEDIANTE LA APLICACION SIMULTANEA DE CAMPOS ELECTRICOS MODERADOS Y MICRO-PERFORACIONES LASER-CO2 PARA ACELERAR LOS FENOMENOS DE TRANSFERENCIA DE CALOR Y MATERIA EN PROCESOS CONVENCIONALES.,- otro,otro
3180344,ESPECIES CRIPTICAS Y DESCONOCIDAS DE ESCAMAS (HEMIPTERA: DIASPIDIDAE) EN CHILE: UN DESAFIO PARA LA AGRICULTURA Y EL CONTROL BIOLOGICO,- otro,otro
3180346,"PARTICIPACION Y CONSUMO CULTURAL EN CHILE EN EL SIGLO XXI: PRACTICAS EMERGENTES, NUEVAS DESIGUALDADES Y REDEFINICIONES TEORICO-CULTURALES",- otro,otro
3180352,CONSTRAINING THE ZOOPLANKTON RESPIRATION AND TROPHIC DYNAMICS IN THE DEEP WATERS OF THE SOUTHEASTERN PACIFIC: IMPLICATIONS FOR CARBON SEQUESTRATION AND BATHYPELAGIC FOOD WEBS,- otro,otro
3180356,"CAMBIO EN ALTITUD DE LAS ISOTERMAS EN AMBIENTES FLUVIALES ALTO-ANDINOS, EN BASE A PROYECCIONES DE CAMBIO CLIMATICO: ESTUDIANDO EL EFECTO DE COMPRESION Y/O EXPANSION EN LA DISTRIBUCION DE MACROINVERTEBRADOS ACUATICOS.",- otro,otro
3180358,ALGORITHMS AND DYNAMIC SYSTEMS IN THE NON-CONVEX OPTIMIZATION,- otro,otro
3180359,THE CHEMICAL EXCHANGE BETWEEN GALAXIES AND THE COSMIC WEB,otro,otro
3180363,CONTROL OF HIGH-ORDER PARTIAL DIFFERENTIAL EQUATIONS,otro,otro
3180364,"EFECTO DEL USO DE AGENTES ANTIOXIDANTES SOBRE EL DETERIORO OXIDATIVO DE JUGOS Y VINOS CHILENOS, USANDO SISTEMAS DE LIBERACION CONTROLADA.",otro,otro
3180367,MATHEMATICAL TOOLS FOR THE SUSTAINABLE MANAGEMENT OF NATURAL RESOURCES APPLIED TO BIOREMEDIATION AND FISHERIES,otro,otro
3180368,CAMBIOS HIDROCLIMATICOS EN LOS ANDES CENTRO-SUR DE CHILE DURANTE EL HOLOCENO RECONSTRUIDOS MEDIANTE EL USO DE ISOTOPOS ESTABLES EN BIOMARCADORES.,otro,otro
3180374,MEMARC: ROLE OF METHANOGENIC ARCHAEA IN THE BIOGEOCHEMICAL CYCLE OF MERCURY IN NATURAL AND ANTHROPIC ANAEROBIC ECOSYSTEMS,otro,otro
3180375,MECANISMOS DE RESPUESTA DE INDIVIDUOS Y COMUNIDADES DE PECES RESILIENTES A ESTRESORES MULTIPLES DENTRO DE UNA CUENCA HIDROGRAFICA: INTEGRACION DEL USO DE BIOMARCADORES Y APROXIMACIONES ECOLOGICAS,otro,otro
3180376,SHEDDING LIGHT ON THE DARK SMBH-GALAXY GROWTH AT HIGH REDSHIFT,otro,otro
3180383,MECHANISTIC MODEL FOR CANCER DEVELOPMENT,salud,salud
3180384,LOS UMBRALES DE LO TOLERABLE: ESTUDIO DE LOS ESCANDALOS EN CHILE CONTEMPORANEO,otro,otro
3180386,VISUALIZING CODE ENTITIES TO SUPPORT SOFTWARE EVOLUTION,otro,otro
3180389,NEUROPLASTICIDAD EN PACIENTES CON BAJA VISION POR PERDIDA DE LA VISION CENTRAL CAUSADA POR PATOLOGIA RETINAL: CENTRALIZACION DE LA MIRADA E IMPACTO EN LAS VIAS VISUALES MAGNOCELULAR Y PARVOCELULAR,salud,salud
3180390,SPECTRAL AND SCATTERING THEORY FOR SEMICLASSICAL SYSTEMS OF QUANTUM HAMILTONIANS,otro,otro
3180391,DEVELOPMENT OF DRUG-LOADED SUTURES THROUGH SUPERCRITICAL IMPREGNATION,salud,salud
3180394,BROWN ALGAE PHYSIOLOGICAL AND METABOLIC RESPONSES TO INCREASED SALINITIES PROVIDE INSIGHTS OF TOLERANCE MECHANISMS AND BIOMONITORING TOOLS TO EVALUATE THE IMPACT OF BRINE DISCHARGES FROM DESALINATION PLANTS ON COASTAL ECOSYSTEMS,otro,otro
3180399,GENETIC ENGINEERING OF NATURAL PRODUCTS BIOSYNTHESIS IN CHILEAN MARINE STREPTOMYCETES,salud,salud
3180403,HECHICERIA: ARTES MEDIALES EN AMERICA LATINA,otro,otro
3180404,UNVEILING A DARK MATTER SIGNAL IN THE DIFFUSE GAMMA-RAY BACKGROUND,otro,otro
3180405,BEATING RED DOTS,otro,otro
3180406,DESARROLLO DE UN PROCESO DE FERMENTACION PARA LA PRODUCCION DEL COPOLIMERO PHBV DE AZOTOBACTER VINELANDII OP A PARTIR DE DIFERENTES ACIDOS ORGANICOS COMO CO-SUBSTRATOS.,otro,otro
3180407,"LEFT-HEIDEGGERIANISM: PAST, PRESENT, FUTURE.",otro,otro
3180408,"SENSORES FLUORESCENTES BASADOS EN CHALCONAS Y PIRAZOLINAS MODIFICADAS DE IONES RELEVANTES A NIVEL BIOQUIMICO: DISEÑO RACIONAL, SINTESIS, EVALUACION FOTOQUIMICA Y BIO-COMPATIBILIDAD.",salud,salud
3180416,NANO-OSCILADORES POR TRANSFERENCIA DE SPIN APLICADOS A LA COMPUTACION NEUROMORFICA,otro,otro
3180417,"ROCK GLACIER VOLUME AND AREA CHANGES IN THE SEMIARID ANDES, CHILE",otro,otro
3180418,PRESENTACION Y EXPERIENCIA DEL VACIO EN EL ARTE CONTEMPORANEO,otro,otro
3180421,EXPLORING GRAVITATIONAL THERMODYNAMICS AND HOLOGRAPHIC COMPLEXITY USING BOUNDARY TERMS AT ASYMPTOTIC NULL BOUNDARIES,otro,otro
3180422,CIRCUITOS DE VIOLENCIAS. ANALISIS DE LA CUESTION PENAL EN CHILE,otro,otro
3180427,DECIPHERING THE ROLE OF IRE1 SIGNALING IN COLLAGEN BIOSYNTHESIS AND LIVER FIBROSIS.,salud,salud
3180429,"ANTECEDENTES, PROPUESTAS Y FORMULACION DE POLITICAS DE SALUD MENTAL EN CHILE, 1940-1990.",salud,salud
3180431,"""MEMORIAS DE LA MILITANCIA INDIGENA POLITICO-MILITAR: LAS MUJERES DE LA COORDINADORA ARAUCO MALLECO (1990-2016)",otro,otro
3180432,FERTILIZATION AND WATER STRESS: EFFECTS ON SOLUBLE AND INSOLUBLE-BOUND BIOACTIVE PHENOLICS OF DURUM WHEAT (TRITICUM TURGIDUM L.VAR. DURUM) AND CHICKPEA (CICER ARIETINUM),otro,otro
3180433,FROM LOW TO HIGH LATITUDES: THERMAL ADAPTATIONS OF SEALS IN A CHANGING WORLD,otro,otro
3180434,INJECTABLE COLLAGEN-NANOCOMPOSITE MATRIX FOR CANCER TREATMENTS: A MULTI-NANOCOMPONENT APPROACH,salud,salud
3180437,INTERACCION DE EFECTORES DE LOS SISTEMAS DE SECRECION DE TIPO III DE SALMONELLA ENTERICA CON PROTEINAS DE DICTYOSTELIUM DISCOIDEUM Y SU EFECTO EN EL DESARROLLO SOCIAL DEL HOSPEDADOR,salud,salud
3180441,ROL DE LOS ENDOFITOS FOLIARES EN LA FOTOPROTECCION DE LA FLORA VASCULAR ANTARTICA: EFECTOS SOBRE EL DESEMPEÑO ECOFISIOLOGICO Y LA PLASTICIDAD FENOTIPICA DE COLOBANTHUS QUITENSIS Y DESCHAMPSIA ANTARCTICA.,otro,otro
3180442,EFFECTS OF MATERNAL SUPRAPHYSIOLOGICAL DYSLIPIDAEMIA IN PREGNANCIES WITH GESTATIONAL DIABETES MELLITUS: IMPACT FROM THE FETO-PLACENTAL VASCULAR FUNCTION TO THE LIPOPROTEIN FUNCTION IN THE NEONATAL CIRCULATION.,salud,salud
3180445,MODULATION OF THE LOCAL ORAL PERI-IMPLANT MUCOSA IMMUNE RESPONSE BY STAPHYLOCOCCUS AUREUS AND CANDIDA ALBICANS IN PATIENTS WITH PERI-IMPLANT MUCOSITIS,salud,salud
3180447,ESTABLECIMIENTO DE UN MODELO FUNCIONAL IN VITRO DE ENDOMETRIO BOVINO 3D SOBRE UNA MATRIZ ARTIFICIAL.,otro,otro
3180449,AN EXPERIMENTAL/THEORETICAL APPROACH FOR THE RATIONAL DESIGN OF NEW HETEROMETALLIC D-F COMPLEXES WITH POTENTIAL MEDICAL AND TECHNOLOGICAL APPLICATIONS.,otro,otro
3180452,CARDIOPATIA CHAGASICA CRONICA: EVALUACION PRECLINICA DEL ROL DE LA ALARMINA HMGB1 COMO BLANCO TERAPEUTICO,salud,salud
3180454,MODIFICACION SUPERFICIAL DE NANOMOFS PARA POTENCIALES APLICACIONES BIOLOGICAS,salud,salud
3180458,ANALISIS DEL CONCEPTO Y USO DE LA EFICIENCIA EN EL SISTEMA PENAL CHILENO. EL FACTOR GERENCIAL-CUANTITATIVO.,otro,otro
3180459,BIOPROSPECTION FOR ECOFRIENDLY ANTIFOULING COMPOUNDS FROM MACROALGAE-BACTERIA ASSOCIATION,salud,salud
3180464,RISK ANALYSIS FOR CRITICAL INFRASTRUCTURES PROTECTION,otro,otro
3180468,"COMPUTACION, CODIFICACION E INFORMACION NEURONAL: PROBLEMAS EN TORNO A LOS FUNDAMENTOS CONCEPTUALES DE LA NEUROCIENCIA COGNITIVA",salud,salud
3180470,ESTABILIDAD Y DINAMICA DE TEXTURAS MAGNETICAS VORTICES Y SKYRMIONS EN SISTEMAS NANOESTRUCTURADOS SIMPLES O DE MULTICAPAS EN GEOMETRIAS CILINDRICAS Y RECTANGULARES,otro,otro
3180471,"LA CIUDAD INFLAMABLE. ARQUITECTURA, URBANISMO E INFRAESTRUCTURA CONTRA-INCENDIOS EN VALPARAISO. 1843-1931",otro,otro
3180472,IMPACT OF THE MESOSCALE OCEAN-ATMOSPHERE INTERACTION ON THE BIOGEOCHEMICAL DYNAMICS IN THE SOUTH EAST PACIFIC,otro,otro
3180484,HETEROARYL-ACRYLONITRILE DERIVATIVES AS INHIBITORS OF NADPH OXIDASES IN AN ISOFORM-SPECIFIC MANNER.,salud,salud
3180486,BIOINFORMATIC APPROACH FOR UNDERSTANDING CANCER AND ITS RELATIONSHIP TO CARDIOVASCULAR DISEASES: IN SEARCH OF NEW TARGETS,salud,salud
3180488,AZO-COMPLEJOS DERIVADOS DE MN (I) Y RE (I) DISEÑADOS COMO PHOTOCORMS EN EL RANGO DEL VISIBLE: UNA FUENTE EFICIENTE DE CO TERAPEUTICO CON POTENCIALES APLICACIONES EN TERAPIA FOTODINAMICA,salud,salud
3180494,AMPLIFICACION DE DESIGUALDADES ACADEMICAS A PARTIR DE BRECHAS DIGITALES EN EDUCACION SUPERIOR.,otro,otro
3180496,NEUROBIOLOGICAL CONTROL OF POST-ECDYSIS IN DROSOPHILA MELANOGASTER: THE ACTION OF A NEUROHORMONE REVISITED,salud,salud
3180500,"ESTUDIO GENOMICO Y CARACTERIZACION DE BACTERIAS FITOPATOGENAS RESISTENTES A COBRE Y ANTIBIOTICOS QUE AFECTAN CULTIVOS DE TOMATE, DESARROLLO DE UNA ESTRATEGIA DE CONTROL ALTERNATIVA BASADA EN FAGOTERAPIA.",salud,salud
3180501,DEEP INVESTIGATION OF THE NEWLY DISCOVERED DWARF SPHEROIDAL SATELLITE GALAXIES OF THE SOUTHERN SKY TO DEVELOP AN OBSERVATIONAL STRATEGY WITHIN THE CTA DARK MATTER PROGRAM,otro,otro
3180503,DEVELOPMENT OF SALMON GELATIN BASED AEROGELS FOR THE PRODUCTION OF PHYTOSTEROLS NANOPARTICLES,salud,salud
3180506,UNVEILING THE BLACK HOLE MASS - GALAXY CONNECTION IN OBSCURED ACCRETING SUPERMASSIVE BLACK HOLES ACROSS COSMIC TIME,otro,otro
3180508,ACTIVACION BASAL DE MTOR POR CK2 PROMUEVE PROGRESION MALIGNA EN CANCER COLORRECTAL,salud,salud
3180509,DISEÑO RACIONAL DE NANOCATALIZADORES PIROLIZADOS DEL TIPO C-N-MT (MT=METAL DE TRANSICION) A PARTIR DE PRECURSORES HIBRIDOS DE POLIMEROS DE COORDINACION PARA LA REACCION DE REDUCCION DE OXIGENO,otro,otro
3180511,NANOPOROUS FRAMEWORKS - A POTENTIAL CANDIDATE FOR CO2 CAPTURE AND HETEROGENEOUS CATALYSIS,otro,otro
3180515,¿ES NECESARIA LA SUPLEMENTACION CON ACIDO FOLICO?: EVALUACION DE LA EXPOSICION CRONICA A ACIDO FOLICO Y SU IMPACTO EPIGENETICO EN LA PATOGENIA DE DIABETES TIPO 1,salud,salud
3180518,MECP2 RELATES DNA METHYLATION/HYDROXYMETHYLATION WITH HISTONE ACETYLATION LEVELS IN THE RYR3 PROMOTER LOCUS BY RECRUITING CREB/CBP IN LEARNING AND MEMORY,salud,salud
3180519,PROPIEDADES MAGNETICAS DE NANOESTRUCTURAS CILINDRICAS COMPLEJAS,otro,otro
3180528,SYMBIOTIC INTERACTIONS BETWEEN SOIL MICRO-ORGANISMS AND VASCULAR PLANTS IN EXTREME ENVIRONMENTS: FACING CLIMATE CHANGE,otro,otro
